num_node,bitmap,dis,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj
20,1fffff,1,2020-09-11 15:28:24,2020-09-11 15:47:00,1260,152640.77019175113,136145.73580576663,153400.24408626457,8280.422088517364
15,17F4DF,1,2020-09-12 05:58:01,2020-09-12 06:14:02,950,111619.92320937438,110554.89226057167,119698.53875549124,7080.062434743783
15,17F4DF,1,2020-09-12 10:47:01,2020-09-12 11:03:01,949,112705.99930403073,109867.04497394153,121613.83456014733,7300.321526247499
15,17F4DF,1,2020-09-12 11:51:01,2020-09-12 12:12:01,1220,144532.8187966448,141906.80935905036,155471.66772092078,8986.110579619628
10,4F6C5,1,2020-09-12 06:32:01,2020-09-12 06:43:01,685,91617.16033157679,0,87205.79917565126,4220.411553110249
10,4F6C5,1,2020-09-12 11:22:01,2020-09-12 11:34:01,709,85981.73117111993,0,93922.56389810686,3853.592894014251
10,4F6C5,1,2020-09-12 12:31:01,2020-09-12 12:44:01,765,108514.06320540111,91545.31547164624,0,4833.967221694981
5,844D,1,2020-09-12 07:51:01,2020-09-12 08:03:01,662,85425.577085846,0,91423.00656313721,4311.520387637392
5,844D,1,2020-09-12 09:52:01,2020-09-12 10:04:01,662,96821.0953805028,0,93024.47659153095,3610.6610993189206
5,844D,1,2020-09-12 10:19:01,2020-09-12 10:31:01,694,96464.44571797608,0,93537.62253279038,3412.9599683470765
20,1fffff,0,2020-09-11 15:10:01,2020-09-11 15:20:01,667,76115.21238323693,68244.25020837525,76305.0470002606,4803.398849241544
15,17F4DF,0,2020-09-12 06:15:01,2020-09-12 06:23:01,444,54210.00241911273,53708.02367047214,56763.83967790171,2798.5789659131656
15,17F4DF,0,2020-09-12 12:13:01,2020-09-12 12:21:01,445,54088.323633239415,52502.059660979845,57494.02430376345,3136.994109936576
10,4F6C5,0,2020-09-12 06:44:01,2020-09-12 06:50:01,333,44171.30446797136,0,42911.421240924414,1708.2818543667017
10,4F6C5,0,2020-09-12 11:35:01,2020-09-12 11:41:01,333,41361.35016418746,0,43523.76602376406,1491.8330523579466
10,4F6C5,0,2020-09-12 12:45:01,2020-09-12 12:51:01,333,44318.43444337713,42067.30088777726,43092.87446042317,1336.7259163379586
5,844D,0,2020-09-12 08:04:01,2020-09-12 08:09:01,263,34765.13147547292,0,34036.14065844352,946.6328528554723
5,844D,0,2020-09-12 10:05:01,2020-09-12 10:10:01,262,34087.88563259738,0,34045.12131852504,312.2365963831593
5,844D,0,2020-09-12 10:32:01,2020-09-12 10:37:01,262,34447.479054001175,0,34014.78764869394,1096.8839718536822
